# mass(g) temperature(K) clouds reduced_chi_squared
5.970000000000001e+28 300 None 24.411513922852357
5.970000000000001e+28 400 None 55.871442331157034
5.970000000000001e+28 500 None 135.11617957441533
5.970000000000001e+28 600 None 340.0848363692209
5.970000000000001e+28 700 None 846.1047357735722
5.970000000000001e+28 800 None 2103.1532830483397
5.970000000000001e+28 900 None 5457.526817903215
5.970000000000001e+28 1000 None 16340.103688033856
5.970000000000001e+28 1100 None 67135.59427366323
5.970000000000001e+28 1200 None 619009.5133571769
5.970000000000001e+28 1300 None 138256342.0290632
5.970000000000001e+28 1400 None 31240653667.3897
5.970000000000001e+28 1500 None 8210514862.464129
5.970000000000001e+28 1600 None 46485439017.57795
5.970000000000001e+28 1700 None 16761680629.019535
5.970000000000001e+28 1800 None 1659359848.2205544
5.970000000000001e+28 1900 None 2626161489.9756393
5.970000000000001e+28 2000 None 1082541931.4212391
1.1940000000000002e+29 300 None 7.261161570958275
1.1940000000000002e+29 400 None 6.462104201815369
1.1940000000000002e+29 500 None 9.990623583580335
1.1940000000000002e+29 600 None 21.863516680339092
1.1940000000000002e+29 700 None 48.04631301938478
1.1940000000000002e+29 800 None 94.52637285145275
1.1940000000000002e+29 900 None 165.7552070646863
1.1940000000000002e+29 1000 None 271.9830690504623
1.1940000000000002e+29 1100 None 420.9931873051639
1.1940000000000002e+29 1200 None 631.1176247730153
1.1940000000000002e+29 1300 None 926.8383795596051
1.1940000000000002e+29 1400 None 1352.6343058435095
1.1940000000000002e+29 1500 None 1975.0272064810424
1.1940000000000002e+29 1600 None 2912.9221409848687
1.1940000000000002e+29 1700 None 4368.248498751233
1.1940000000000002e+29 1800 None 6722.717141427523
1.1940000000000002e+29 1900 None 10721.910115882169
1.1940000000000002e+29 2000 None 18036.19145553257
1.791e+29 300 None 8.816808825200198
1.791e+29 400 None 5.390550015559651
1.791e+29 500 None 3.3947757835612804
1.791e+29 600 None 3.7557751763590983
1.791e+29 700 None 7.846848319115926
1.791e+29 800 None 16.560458041266582
1.791e+29 900 None 30.31662790260143
1.791e+29 1000 None 49.937138368298264
1.791e+29 1100 None 75.05234756226992
1.791e+29 1200 None 106.09851301562675
1.791e+29 1300 None 143.3621444796248
1.791e+29 1400 None 188.15201368843591
1.791e+29 1500 None 242.45852692407223
1.791e+29 1600 None 308.8224844391711
1.791e+29 1700 None 389.31130503693174
1.791e+29 1800 None 488.92690271651963
1.791e+29 1900 None 611.4100040379162
1.791e+29 2000 None 764.6747201083274
2.3880000000000004e+29 300 None 10.94779281399638
2.3880000000000004e+29 400 None 7.382143836089496
2.3880000000000004e+29 500 None 4.486193536980992
2.3880000000000004e+29 600 None 2.5093376321794874
2.3880000000000004e+29 700 None 2.083854299809025
2.3880000000000004e+29 800 None 3.729760825730819
2.3880000000000004e+29 900 None 7.540545564924966
2.3880000000000004e+29 1000 None 13.555466623308188
2.3880000000000004e+29 1100 None 21.271728033228573
2.3880000000000004e+29 1200 None 30.32886592657279
2.3880000000000004e+29 1300 None 40.7629136009244
2.3880000000000004e+29 1400 None 52.71145956429305
2.3880000000000004e+29 1500 None 66.29815306625338
2.3880000000000004e+29 1600 None 81.79797653491984
2.3880000000000004e+29 1700 None 99.58369329261193
2.3880000000000004e+29 1800 None 119.91378252939884
2.3880000000000004e+29 1900 None 142.6935215179713
2.3880000000000004e+29 2000 None 168.9919155094048
2.9850000000000003e+29 300 None 12.653904201927393
2.9850000000000003e+29 400 None 9.342674679548551
2.9850000000000003e+29 500 None 6.4184012278031775
2.9850000000000003e+29 600 None 3.913872669199907
2.9850000000000003e+29 700 None 2.212491642694556
2.9850000000000003e+29 800 None 1.6478988045044474
2.9850000000000003e+29 900 None 2.3238694312051935
2.9850000000000003e+29 1000 None 4.178144890937627
2.9850000000000003e+29 1100 None 6.944830441554842
