# mass(g) temperature(K) clouds reduced_chi_squared
1.194e+28 300 None 103210917.58517626
1.194e+28 400 None 1622673786.9713407
1.194e+28 500 None 1482306548.621768
1.194e+28 600 None 43628452169.61721
1.194e+28 700 None 1405568491.0247316
1.194e+28 800 None 215062565.4104211
1.194e+28 900 None 224193546.1133339
1.194e+28 1000 None 15881261.082794761
1.194e+28 1100 None 2341284.458462916
1.194e+28 1200 None 154665.45057490966
1.194e+28 1300 None 13290.574572704701
1.194e+28 1400 None 1901.4955753215602
1.194e+28 1500 None 1792.201982852957
1.194e+28 1600 None 1791.7518667267366
1.194e+28 1700 None 1792.2425478823575
1.194e+28 1800 None 1792.3986959857314
1.194e+28 1900 None 1792.398693350317
1.194e+28 2000 None 1792.3986959923195
2.388e+28 300 None 793.034449861213
2.388e+28 400 None 725.9012253458873
2.388e+28 500 None 396816.26711865544
2.388e+28 600 None 1281053580.3962443
2.388e+28 700 None 9558871714496.025
2.388e+28 800 None 9775987237.152271
2.388e+28 900 None 448551656.5716415
2.388e+28 1000 None 2529207349.106992
2.388e+28 1100 None 610054750.3919656
2.388e+28 1200 None 1173433282.677233
2.388e+28 1300 None 46128000.87696285
2.388e+28 1400 None 6367192.923021259
2.388e+28 1500 None 469181.4295466787
2.388e+28 1600 None 16155.629008893295
2.388e+28 1700 None 1735.2862077806333
2.388e+28 1800 None 1792.2533817965334
2.388e+28 1900 None 1792.3918518957041
2.388e+28 2000 None 1792.3983124079998
3.5820000000000003e+28 300 None 1078.5366318540905
3.5820000000000003e+28 400 None 658.7691150094896
3.5820000000000003e+28 500 None 228.45651668326767
3.5820000000000003e+28 600 None 1998.8646650516641
3.5820000000000003e+28 700 None 75525.35848462497
3.5820000000000003e+28 800 None 53495165149.83724
3.5820000000000003e+28 900 None 4118038846.1677594
3.5820000000000003e+28 1000 None 32552657621.110992
3.5820000000000003e+28 1100 None 945200611.6043633
3.5820000000000003e+28 1200 None 10365417083.617033
3.5820000000000003e+28 1300 None 7041814035.764317
3.5820000000000003e+28 1400 None 504328823.4050402
3.5820000000000003e+28 1500 None 367048937.9782092
3.5820000000000003e+28 1600 None 60647022.135468215
3.5820000000000003e+28 1700 None 6396120.9841216635
3.5820000000000003e+28 1800 None 1966.421851406331
3.5820000000000003e+28 1900 None 30353.99741636942
3.5820000000000003e+28 2000 None 1695.0086727477958
4.776e+28 300 None 1240.7875197774736
4.776e+28 400 None 936.6109338145558
4.776e+28 500 None 547.9942486037493
4.776e+28 600 None 161.06314818419744
4.776e+28 700 None 390.4663550632267
4.776e+28 800 None 5109.394127543182
4.776e+28 900 None 57021.47002261073
4.776e+28 1000 None 2822245.05552766
4.776e+28 1100 None 17775462933.04924
4.776e+28 1200 None 6785575285.661352
4.776e+28 1300 None 9256061134.68942
4.776e+28 1400 None 1828781469192.516
4.776e+28 1500 None 776212560.91167
4.776e+28 1600 None 4775814047.65175
4.776e+28 1700 None 2266.6385485650576
4.776e+28 1800 None 98239638.33298665
4.776e+28 1900 None 702249.5025611202
4.776e+28 2000 None 4039230.998506741
