# mass(g) temperature(K) clouds reduced_chi_squared
5.970000000000001e+28 300 None 36.00698481930875
5.970000000000001e+28 400 None 76.30662698191863
5.970000000000001e+28 500 None 167.11264669122374
5.970000000000001e+28 600 None 388.17832335731026
5.970000000000001e+28 700 None 917.8374130461409
5.970000000000001e+28 800 None 50
5.970000000000001e+28 900 None 50
5.970000000000001e+28 1000 None 50
5.970000000000001e+28 1100 None 50
5.970000000000001e+28 1200 None 50
5.970000000000001e+28 1300 None 50
5.970000000000001e+28 1400 None 50
5.970000000000001e+28 1500 None 50
5.970000000000001e+28 1600 None 50
5.970000000000001e+28 1700 None 50
5.970000000000001e+28 1800 None 50
5.970000000000001e+28 1900 None 50
5.970000000000001e+28 2000 None 50
1.1940000000000002e+29 300 None 8.256096578692615
1.1940000000000002e+29 400 None 11.292607138357223
1.1940000000000002e+29 500 None 18.75120265480983
1.1940000000000002e+29 600 None 35.81744595457524
1.1940000000000002e+29 700 None 68.21224779675984
1.1940000000000002e+29 800 None 50
1.1940000000000002e+29 900 None 50
1.1940000000000002e+29 1000 None 50
1.1940000000000002e+29 1100 None 50
1.1940000000000002e+29 1200 None 50
1.1940000000000002e+29 1300 None 50
1.1940000000000002e+29 1400 None 50
1.1940000000000002e+29 1500 None 50
1.1940000000000002e+29 1600 None 50
1.1940000000000002e+29 1700 None 50
1.1940000000000002e+29 1800 None 50
1.1940000000000002e+29 1900 None 50
1.1940000000000002e+29 2000 None 50
1.791e+29 300 None 6.0765321344115755
1.791e+29 400 None 5.373259021342907
1.791e+29 500 None 6.0648338470100835
1.791e+29 600 None 9.303719278659157
1.791e+29 700 None 16.37934949947796
1.791e+29 800 None 28.6859230807451
1.791e+29 900 None 46.345462978088335
1.791e+29 1000 None 70.0748919826113
1.791e+29 1100 None 50
1.791e+29 1200 None 50
1.791e+29 1300 None 50
1.791e+29 1400 None 50
1.791e+29 1500 None 50
1.791e+29 1600 None 50
1.791e+29 1700 None 50
1.791e+29 1800 None 50
1.791e+29 1900 None 50
1.791e+29 2000 None 50
2.3880000000000004e+29 300 None 6.344405971772395
2.3880000000000004e+29 400 None 4.790106582432632
2.3880000000000004e+29 500 None 3.832966635728454
2.3880000000000004e+29 600 None 3.997119654695238
2.3880000000000004e+29 700 None 5.940964802159912
2.3880000000000004e+29 800 None 10.138736146423222
2.3880000000000004e+29 900 None 16.212133533581902
2.3880000000000004e+29 1000 None 24.46807193048273
2.3880000000000004e+29 1100 None 34.41671809676588
2.3880000000000004e+29 1200 None 45.80873073241531
2.3880000000000004e+29 1300 None 58.6133484631534
2.3880000000000004e+29 1400 None 50
2.3880000000000004e+29 1500 None 50
2.3880000000000004e+29 1600 None 50
2.3880000000000004e+29 1700 None 50
2.3880000000000004e+29 1800 None 50
2.3880000000000004e+29 1900 None 50
2.3880000000000004e+29 2000 None 50
2.9850000000000003e+29 300 None 6.93258971364845
2.9850000000000003e+29 400 None 5.216537147052568
2.9850000000000003e+29 500 None 3.8080470866872402
2.9850000000000003e+29 600 None 2.9544989332246785
2.9850000000000003e+29 700 None 3.053898484298248
2.9850000000000003e+29 800 None 4.402325001342591
2.9850000000000003e+29 900 None 6.929315346411599
2.9850000000000003e+29 1000 None 10.633716989064922
2.9850000000000003e+29 1100 None 15.137147212231456
2.9850000000000003e+29 1200 None 20.052084773319354
2.9850000000000003e+29 1300 None 25.410905038921623
2.9850000000000003e+29 1400 None 31.21367701804933
2.9850000000000003e+29 1500 None 37.4800710226818
2.9850000000000003e+29 1600 None 44.270490637950374
2.9850000000000003e+29 1700 None 51.68993952550854
2.9850000000000003e+29 1800 None 50
2.9850000000000003e+29 1900 None 50
2.9850000000000003e+29 2000 None 50
3.582e+29 300 None 7.501885838298568
3.582e+29 400 None 5.8158459201203305
3.582e+29 500 None 4.306013360236976
3.582e+29 600 None 3.0966544529155815
3.582e+29 700 None 2.4655766859203645
3.582e+29 800 None 2.634814062951072
3.582e+29 900 None 3.5807026841150362
3.582e+29 1000 None 5.2779588597587335
3.582e+29 1100 None 7.477552811404395
3.582e+29 1200 None 9.994373390589322
3.582e+29 1300 None 12.77669045329682
3.582e+29 1400 None 15.729809190158187
3.582e+29 1500 None 18.841439023992628
3.582e+29 1600 None 22.000263898210424
3.582e+29 1700 None 25.38310483966322
3.582e+29 1800 None 29.011958725613056
3.582e+29 1900 None 32.89386631236802
3.582e+29 2000 None 37.04137869591714
4.1790000000000005e+29 300 None 7.995155777403981
4.1790000000000005e+29 400 None 6.395959228769998
4.1790000000000005e+29 500 None 4.904616811672902
4.1790000000000005e+29 600 None 3.5824412511084054
4.1790000000000005e+29 700 None 2.640392971804036
4.1790000000000005e+29 800 None 2.2603217884146383
4.1790000000000005e+29 900 None 2.4496164097655635
4.1790000000000005e+29 1000 None 3.178844774206354
4.1790000000000005e+29 1100 None 4.2796533773436485
4.1790000000000005e+29 1200 None 5.605253627177137
4.1790000000000005e+29 1300 None 7.106975063304426
4.1790000000000005e+29 1400 None 8.702414955396232
4.1790000000000005e+29 1500 None 10.39936685079147
4.1790000000000005e+29 1600 None 12.17630643904277
4.1790000000000005e+29 1700 None 14.067732660406174
4.1790000000000005e+29 1800 None 16.085543008267926
4.1790000000000005e+29 1900 None 18.14086653179752
4.1790000000000005e+29 2000 None 20.216914181820382
4.776000000000001e+29 300 None 8.412470178269214
4.776000000000001e+29 400 None 6.913420494325334
4.776000000000001e+29 500 None 5.483194870968138
4.776000000000001e+29 600 None 4.147885468882756
4.776000000000001e+29 700 None 3.076528920749326
4.776000000000001e+29 800 None 2.425138265353895
4.776000000000001e+29 900 None 2.2205711765542344
4.776000000000001e+29 1000 None 2.4343501660100446
4.776000000000001e+29 1100 None 2.950037875119154
4.776000000000001e+29 1200 None 3.649158777483656
4.776000000000001e+29 1300 None 4.487383132758608
4.776000000000001e+29 1400 None 5.394327844602566
4.776000000000001e+29 1500 None 6.370495101326427
